,date,open,close,high,low,value,volume,sentiment_score,MA7,MA20,MACD,20SD,upper_band,lower_band,EMA,logmomentum
31,2025-02-18,319.99,312.95,320.92,310.21,26823149077.9,85001770.0,-0.08159640310988579,307.20285714285717,290.072,-7.092077476795112,14.507411028051953,319.0868220561039,261.0571779438961,314.0303115000077,5.7428429185567955
32,2025-02-19,313.53,315.91,317.25,311.01,15868701994.0,50484340.0,0.0599784376164821,310.9128571428572,291.8495,-7.287861594738899,15.404926920341241,322.65935384068246,261.0396461593175,315.2834371666693,5.752286883715816
33,2025-02-20,315.91,315.05,317.96,314.02,10477695990.6,33164900.0,-0.07466045856144524,313.9114285714286,293.5775,-7.765964268213679,15.99083450473729,325.55916900947454,261.5958309905254,315.12781238888977,5.74955220890039
34,2025-02-21,315.48,314.74,316.69,312.0,10285495344.6,32725520.0,0.0223643914361602,314.0171428571429,295.27750000000003,-8.020223705816647,16.35732408787549,327.992148175751,262.56285182424904,314.8692707962966,5.748564617428094
35,2025-02-24,314.92,316.03,316.4,313.0,11245263329.0,35730390.0,-0.03285201600462597,314.86428571428576,297.3175,-7.948211488201821,16.269459563049008,329.856419126098,264.778580873902,315.6430902654322,5.752667872386011
36,2025-02-25,316.03,316.97,318.59,315.62,12313543551.0,38826960.0,0.0342338990384864,315.87857142857143,299.2485,-7.885205884489949,16.191437722645848,331.63137544529167,266.8656245547083,316.52769675514406,5.755647272371277
37,2025-02-26,316.97,310.22,317.45,308.31,23040552826.8,73827020.0,-0.26671736091702675,314.5528571428572,300.7415,-8.408009690583583,15.728130773603786,332.19776154720756,269.2852384527924,312.32256558504804,5.734052997674449
38,2025-02-27,310.22,307.1,312.45,305.43,18840933180.5,60936490.0,-0.14669515859038024,313.71714285714285,301.998,-8.003314701505985,15.142469589309453,332.2829391786189,271.7130608213811,308.84085519501605,5.723911845951367
39,2025-02-28,306.01,309.63,310.4,304.05,20165953351.0,65681370.0,0.10419896851044799,312.82000000000005,303.44300000000004,-6.786363379192096,14.365075374891694,332.1731507497834,274.71284925021666,309.36695173167203,5.73214314842516
40,2025-03-01,309.84,310.11,310.94,309.47,352894151.0,1138430.0,0.043894556113705,312.11428571428576,304.971,-6.266283252636072,13.273698132218746,331.5183962644375,278.4236037355625,309.8623172438907,5.733697200604404
41,2025-03-02,309.5,307.44,309.63,306.8,580768223.4999995,1885110.0,-0.04462849258805628,311.07142857142856,306.473,-5.937791574147411,11.581396197986725,329.63579239597345,283.3102076040266,308.24743908129693,5.72502197764862
42,2025-03-03,306.45,305.5,307.92,300.2,20184378218.89999,66467290.0,-0.030577461486016373,309.56714285714287,307.604,-5.316085109299706,10.175253468975576,327.9545069379511,287.25349306204885,306.415813027099,5.718671087149952
43,2025-03-04,306.95,316.4,318.5,306.14,27673062102.69999,88130960.0,0.2263768076125709,309.4857142857143,309.0665,-4.020445403121698,9.12891662160498,327.32433324321,290.80866675679005,313.07193767569964,5.753841674528938
44,2025-03-05,316.4,313.56,318.3,313.0,18258763571.00001,57792400.0,-0.14561076924284777,309.96285714285716,310.454,-4.522638270110804,7.342123886035997,325.138247772072,295.769752227928,313.3973125585665,5.744796450746815
45,2025-03-06,313.6,315.18,317.43,313.57,10074119599.49998,31963110.0,0.004292099316511248,311.1171428571428,311.716,-4.342418192216428,5.590814270795656,322.8976285415913,300.5343714584087,314.58577085285555,5.749966070071793
